property_type,address,city,state,zip_code,price,beds,baths,area,lot_size,year_built,hoa_month
Single Family Residential,2282 Slaterville Rd,Ithaca,NY,14850,257500,3,2,1092,0.9199954086317723,1959,
Single Family Residential,194 Muzzy Rd,Ithaca,NY,14850,395000,3,2.5,2403,3.019995408631772,1900,
Single Family Residential,888 W Dryden Rd,Freeville,NY,13068,375000,4,2.5,2080,1.85,2002,
Single Family Residential,269 Etna Rd,Ithaca,NY,14850,430000,4,3,2642,2.9699954086317724,2006,
Single Family Residential,130 Mount Pleasant Rd,Ithaca,NY,14850,707500,5,3,3089,14.569995408631772,1997,
Single Family Residential,29 Hunter Ln,Ithaca,NY,14850,434500,3,2,2571,2.830004591368228,1974,
Single Family Residential,124 Sykes St,Groton,NY,13073,155000,3,1.5,1120,0.13000459136822773,1911,
Single Family Residential,1025 Highland Rd,Ithaca,NY,14850,540000,4,3.5,2208,0.9899908172635445,1955,
Single Family Residential,24 Renwick Heights Rd,Ithaca,NY,14850,564000,4,1.5,1984,0.43999081726354455,1926,
Single Family Residential,1016 Trumansburg Rd,Ithaca,NY,14850,385000,2,2,1526,0.41999540863177226,1930,
Single Family Residential,126 Westhaven Rd,Ithaca,NY,14850,300000,3,2,1548,0.7,1960,
Single Family Residential,100 Spruce Way,Ithaca,NY,14850,250000,3,2,1648,,1965,
Single Family Residential,344 Saranac Way,Ithaca,NY,14850,239000,2,2,1248,0.11000918273645546,1989,330
Single Family Residential,130 Ridgecrest Rd,Ithaca,NY,14850,120000,3,1.5,1568,10,1987,
Single Family Residential,102 Southwoods Dr,Ithaca,NY,14850,573000,5,3.5,3292,0.7600091827364555,2015,
Single Family Residential,154 Kendall Ave,Ithaca,NY,14850,261000,3,3,2044,0.13000459136822773,2007,
Single Family Residential,1561 Slaterville Rd,Ithaca,NY,14850,270000,3,2,1420,0.6030073461891644,1955,
Multi-Family (2-4 Unit),37 Dove Dr,Ithaca,NY,14850,370000,6,3,1804,0.3370064279155188,1986,
Single Family Residential,126 Christopher Cir,Ithaca,NY,14850,505000,4,2,2340,0.6,1958,
Single Family Residential,731 Cayuga Heights Rd,Ithaca,NY,14850,405000,4,3,2984,11.230004591368228,1820,
Multi-Family (2-4 Unit),33 Armstrong Rd,Lansing,NY,14882,256000,,,1600,1.2,1988,
Single Family Residential,1156 Warren Rd,Ithaca,NY,14850,685000,4,3,3545,2.0300045913682276,2002,
Single Family Residential,6 Elmcrest Cir,Ithaca,NY,14850,230000,3,2,1817,0.2,1956,
Single Family Residential,409 S Plain St,Ithaca,NY,14850,100000,2,1,1174,0.06994949494949496,1900,
Single Family Residential,313 Hudson St,Ithaca,NY,14850,360000,4,1.5,2676,0.23000459136822773,1929,
Single Family Residential,945 E State St,Ithaca,NY,14850,299000,4,2,2000,0.35,1910,
Single Family Residential,35 Woodcrest Ave,Ithaca,NY,14850,523000,3,2.5,1988,0.23140495867768596,1959,
Single Family Residential,723 East Shore Dr,Ithaca,NY,14850,305550,3,2,1318,0.21808999081726355,1942,
Single Family Residential,40 Sun Path,Ithaca,NY,14850,750000,5,5,5464,1.1399908172635445,2018,
Single Family Residential,123 South Hill Ter,Ithaca,NY,14850,187500,3,1,1208,0.11000918273645546,1900,
Single Family Residential,309 E Court St,Ithaca,NY,14850,930100,4,4.5,3328,0.18000459136822775,1840,
Single Family Residential,7 Peachtree Ln,Ithaca,NY,14850,440000,3,2.5,2240,1.3300045913682277,2000,
Single Family Residential,175 Buck,Lansing,NY,14882,140000,2,1,1984,1.6,1991,
Single Family Residential,2010 E Shore Dr,Lansing,NY,14882,331500,3,2,1416,0.5899908172635445,1930,
Single Family Residential,406 Lake Ave,Ithaca,NY,14850,138030,2,1.5,1044,0.03000459136822773,2017,
Multi-Family (2-4 Unit),222 Sapsucker Woods Rd,Ithaca,NY,14850,380000,,,3204,0.45,1975,
Multi-Family (2-4 Unit),86 Simms Hill Rd,Dryden,NY,13053,251500,,,2540,1.4399908172635445,1989,
Multi-Family (2-4 Unit),405 Main St,Freeville,NY,13068,310000,,,2256,1.4600091827364554,1991,
Multi-Family (2-4 Unit),404 Oak Ave,Ithaca,NY,14850,576000,,,2668,,1900,
Multi-Family (2-4 Unit),317 S Aurora St,Ithaca,NY,14850,617500,,,4389,0.11000918273645546,1975,
Multi-Family (2-4 Unit),1065 Dryden Rd,Ithaca,NY,14850,850000,,,4968,4.5699954086317724,1990,
Single Family Residential,132 South Hill Ter,Ithaca,NY,14850,399000,3,1,2253,0.11000918273645546,1920,
Single Family Residential,40 Cemetery St,Trumansburg,NY,14886,36000,2,1,855,0.16000918273645545,1958,
Single Family Residential,106 Roosevelt Ave,Groton,NY,13073,164900,3,1,1296,0.18999081726354453,1920,
Single Family Residential,362 Lafayette Rd,Groton,NY,13073,250000,3,1.5,1866,7.719995408631772,1991,
Single Family Residential,1391 Ellis Hollow Rd,Ithaca,NY,14850,116000,3,2,2158,4.219995408631772,1971,
Single Family Residential,215 Mitchell St,Ithaca,NY,14850,405000,4,3,2138,9916,1880,
Single Family Residential,71 Asbury Rd,Lansing,NY,14882,400000,3,2,2315,3.7,1987,
Single Family Residential,38 Pine Cir,Newfield,NY,14867,230000,3,1.5,1224,0.6899908172635445,1973,
Single Family Residential,212 Pine Way,Newfield,NY,14867,164000,3,2,1344,0.5899908172635445,2003,
Single Family Residential,206 Salem Dr,Ithaca,NY,14850,362000,5,2.5,2226,0.3600091827364555,1963,
Single Family Residential,12 Janivar Dr,Ithaca,NY,14850,485000,3,2,1515,0.28999081726354453,1990,
Single Family Residential,13 Highgate Cir,Ithaca,NY,14850,365000,4,2.5,2486,0.4800045913682277,1977,
Single Family Residential,30 Cherry Rd,Ithaca,NY,14850,402000,3,2.5,2381,2.9699954086317724,1987,
Single Family Residential,69 Waterwagon Rd,Ithaca,NY,14850,260000,3,1.5,1092,1.1600091827364554,1988,
Multi-Family (2-4 Unit),1604 East Shore Dr,Ithaca,NY,14850,295000,6,3,1695,0.6300045913682277,1924,
Single Family Residential,7 Lee Rd,Dryden,NY,13053,186500,3,1.5,1463,0.2699954086317723,1953,
Single Family Residential,150 Old Stage Rd,Groton,NY,13073,299000,3,2,1716,4.3,2000,
Single Family Residential,317 Main,Freeville,NY,13068,215000,2,1,935,8.95,1933,
Single Family Residential,186 Pinckney Rd,Ithaca,NY,14850,260200,3,2,1748,1.8800045913682277,1972,
Single Family Residential,20 Sundown Rd,Dryden,NY,13068,275000,4,2,2000,2.4300045913682276,1984,
Mobile/Manufactured Home,315 Midway,Newfield,NY,14867,36000,2,1,900,,2011,
Single Family Residential,33 Fenner Rd,Lansing,NY,14882,263800,3,1.5,1724,1,1956,
Single Family Residential,210 N Corn St,Ithaca,NY,14850,240075,2,2,1659,0.06060606060606061,1890,
Multi-Family (2-4 Unit),406 W Buffalo St,Ithaca,NY,14850,302000,2,2,1898,0.059986225895316804,1870,
Condo/Co-op,211 Wildflower Dr,Ithaca,NY,14850,249500,2,1,1080,0.012144168962350781,1975,
Single Family Residential,36 Washington St,Trumansburg,NY,14886,293000,2,2,1414,0.3,1944,
Condo/Co-op,215 W Spencer St,Ithaca,NY,14850,360000,2,2,1005,,2018,198
Single Family Residential,12 Deputron Hollow Rd,Brooktondale,NY,14817,245000,1,1,936,17.419995408631774,1994,
Single Family Residential,129 Northview Rd,Ithaca,NY,14850,479000,4,2,2272,0.9100091827364555,1959,
Mobile/Manufactured Home,386 Applegate Rd N,Ithaca,NY,14850,147500,3,,1196,2.8,1980,
Single Family Residential,861 White Church Rd,Brooktondale,NY,14817,235000,3,2,1762,5.5,1865,
Multi-Family (2-4 Unit),20 Fuller Ln,Slaterville Springs,NY,14881,255500,4,2,1920,1.2199954086317724,2012,
Single Family Residential,340 Hunt Hill Rd,Ithaca,NY,14850,530000,3,2,2313,24.680004591368228,1880,
Single Family Residential,5 Union St,Dryden,NY,13068,228000,5,1.5,2088,0.65,1900,
Single Family Residential,16 Sharpsteen Rd,Locke,NY,13092,298000,4,2.5,1640,1.3300045913682277,1962,
Ranch,69 Groton City Rd,Groton,NY,13073,849900,5,1.5,2376,242.2099862258953,1942,
Single Family Residential,54 Southworth Rd,Dryden,NY,13053,615000,4,3.5,3276,16.2,2020,
Single Family Residential,996 Irish Settlement Rd,Freeville,NY,13068,239000,3,1.5,1222,1.4600091827364554,2002,
Multi-Family (2-4 Unit),410 S Geneva St,Ithaca,NY,14850,300000,4,2,1777,0.08999081726354453,1898,
Single Family Residential,1744 Elmira Rd,Newfield,NY,14867,95000,3,1,936,4.830004591368228,1970,
Single Family Residential,17 Goodrich Way,Dryden,NY,13053,320000,4,2.5,2592,0.5,1989,
Single Family Residential,182 Ellis Hollow Creek Rd,Ithaca,NY,14850,400000,3,2,2364,1.55,1954,
Single Family Residential,434 Winthrop Dr,Ithaca,NY,14850,400000,5,2,2066,0.3856749311294766,1965,
Single Family Residential,2695 Slaterville Rd,Slaterville Springs,NY,14881,205000,3,2,1635,0.33000459136822774,1880,
Single Family Residential,110 Cayuga Heights Rd,Ithaca,NY,14850,999999,4,3.5,3744,0.6300045913682277,1930,
Multi-Family (2-4 Unit),125 Elmira Rd,Ithaca,NY,14850,470250,6,4,2304,0.13000459136822773,2017,
Multi-Family (2-4 Unit),128 E Spencer St,Ithaca,NY,14850,484400,,,4132,0.13000459136822773,1890,
Single Family Residential,216 Warren Pl,Ithaca,NY,14850,266000,3,2,1273,0.28999081726354453,1955,
Single Family Residential,1228 E Shore Dr,Ithaca,NY,14850,1335000,5,5,3820,0.3199954086317723,1950,
Single Family Residential,8211 Perry City Rd,Trumansburg,NY,14886,263000,3,1,1700,2.3,1850,
Single Family Residential,216 Inlet Valley Way,Ithaca,NY,14850,504000,3,2,1904,3.4100091827364554,2008,160
Single Family Residential,72 W Dryden Rd,Freeville,NY,13068,270000,3,2.5,2002,10.05,1978,
Single Family Residential,1512 Trumansburg Rd,Ithaca,NY,14850,325000,3,1.5,2220,1,1962,
Single Family Residential,1133 Warren Rd,Ithaca,NY,14850,257500,4,2.5,1890,0.5,1963,
Single Family Residential,393 Asbury Rd,Freeville,NY,13068,238000,3,1.5,1616,0.9600091827364554,1900,
Townhouse,105 Nor Way,Ithaca,NY,14850,530000,3,3.5,2500,0.11000918273645546,2021,250
Single Family Residential,68 Cherry Rd,Ithaca,NY,14850,475000,3,2.5,2160,4.3199954086317724,1994,
Single Family Residential,129 Eastlake Rd,Ithaca,NY,14850,801000,4,4,4250,1,1989,21
Condo/Co-op,511 Strawberry Hill Cir,Ithaca,NY,14850,350000,2,1.5,1680,0.01999540863177227,1988,244
Single Family Residential,106 Clover Ln,Ithaca-city,NY,14850,450000,4,3,2258,0.3213957759412305,1961,
Single Family Residential,522 Peru Rd,Groton,NY,13073,175000,3,1.5,1056,0.5,1995,
Single Family Residential,171 Old Stage Rd,Groton,NY,13073,200000,3,1,1008,2.8699954086317723,1990,
Multi-Family (2-4 Unit),321 E Cortland St,Groton,NY,13073,102900,5,3,2660,0.65,1850,
Single Family Residential,374 North Rd,Dryden,NY,13068,240000,4,1,2027,1.35,1860,
Single Family Residential,182 Hillcrest Rd,Ithaca,NY,14850,899000,5,5,5596,6.2,1992,
Single Family Residential,9 Meadow Dr,Dryden,NY,13068,230000,3,2,1090,0.6399908172635446,1977,
Single Family Residential,8 Deputron Hollow Rd,Brooktondale,NY,14817,198000,3,1,1638,8.530004591368227,1880,
Single Family Residential,304 S Main St,Groton,NY,13073,174700,4,2.5,1972,0.4300045913682277,1890,
Single Family Residential,111 Cascadilla Park Rd,Ithaca,NY,14850,609000,3,2.5,2390,0.15,1900,
Single Family Residential,31 Tannery Cir,Dryden,NY,13053,285000,3,2,1728,0.46999540863177225,2002,
Single Family Residential,121 Thurston Ave,Ithaca,NY,14850,312000,3,2,1248,0.28000459136822775,1910,
Single Family Residential,456 Comfort Rd,Ithaca,NY,14850,349500,4,3,2090,2,1850,
Single Family Residential,106 Taylor Pl,Ithaca-city,NY,14850,205000,2,1,903,0.16999540863177226,1955,
Single Family Residential,633 Millard Hill Rd,Newfield,NY,14867,233405,1,1,1184,6.7600091827364555,1996,
Single Family Residential,686 Ringwood Rd,Ithaca,NY,14850,440000,3,2,2100,5.910009182736456,1969,
Single Family Residential,22 Rosina Dr,Ithaca,NY,14850,640000,4,3.5,3629,0.6800045913682278,1997,
Single Family Residential,402 Van Ostrand Rd,Groton,NY,13073,240000,3,2,1621,0.5800045913682277,1958,
Single Family Residential,381 S Danby Rd,Spencer,NY,14883,152000,3,1.5,960,0.9800045913682277,1975,
Single Family Residential,97 Station Rd,Spencer,NY,14883,197500,3,2,1696,2.35,1992,
Single Family Residential,22 Stormy View Dr,Ithaca,NY,14850,525500,3,2,2131,1.1100091827364555,1978,
Single Family Residential,109 Christopher Cir,Ithaca,NY,14850,407000,3,3,1506,0.6899908172635445,1958,
Single Family Residential,325 Etna Rd,Ithaca,NY,14850,387500,3,3,2750,2.0300045913682276,2020,
Single Family Residential,420 Hunt Hill Rd,Ithaca,NY,14850,451000,2,2,1888,11.730004591368228,2009,
Single Family Residential,27 E Main St,Dryden,NY,13053,163000,4,1.5,2614,0.7699954086317723,1887,
Single Family Residential,105 W Main St,Dryden,NY,13053,280000,3,3,2568,0.9,2000,
Single Family Residential,301 Clinton Ave,Groton,NY,13073,85900,3,1,1176,0.38000459136822773,1900,
Single Family Residential,99 Maplewood Rd,Ithaca,NY,14850,607000,2,2,1173,0.21999540863177228,1920,
Single Family Residential,80 E Malloryville Rd,Dryden,NY,13068,395000,3,2.5,2203,1.9800045913682278,2003,
Single Family Residential,1875 Dryden Rd,Freeville,NY,13068,252000,2,2.5,1693,0.5,1968,
Single Family Residential,307 Esty St,Ithaca,NY,14850,245000,4,1.5,1424,,1900,
Single Family Residential,298 Podunk Rd,Trumansburg,NY,14886,220000,3,2,2724,15.260009182736455,1950,
Multi-Family (2-4 Unit),117 Honness Rd,Ithaca,NY,14850,325000,6,3,2464,0.5,1986,
Multi-Family (2-4 Unit),119 Honness,Ithaca,NY,14850,319000,5,2.5,2156,0.36999540863177227,1985,
Single Family Residential,125 Kelvin Pl,Ithaca,NY,14850,590000,6,2.5,2512,0.4,1905,
Townhouse,103 Nor Way,Ithaca,NY,14850,545000,3,3.5,2600,0.11000918273645546,2021,250
Single Family Residential,133 Westhaven Rd,Ithaca,NY,14850,395000,4,2.5,2400,0.623989898989899,1992,
Single Family Residential,145 Whitetail Dr,Ithaca,NY,14850,439000,4,2.5,2269,0.33000459136822774,1994,
Single Family Residential,123 Larisa Ln,Ithaca,NY,14850,720000,5,4,3477,0.7600091827364555,2015,
Single Family Residential,110 Walnut St,Ithaca,NY,14850,500000,3,2.5,2012,0.11999540863177227,2014,
Mobile/Manufactured Home,99 Wood Rd,Freeville,NY,13068,45000,2,2,1364,,1987,
Single Family Residential,255 Troy Rd,Ithaca,NY,14850,290000,3,1,1433,0.9600091827364554,1958,
Single Family Residential,232 Troy Rd,Ithaca,NY,14850,401000,3,3,2152,2.0699954086317724,1840,
Single Family Residential,124 Burleigh Dr,Ithaca,NY,14850,366500,4,2,2020,0.36999540863177227,1974,
Mobile/Manufactured Home,605 Donalds Dr,Ithaca,NY,14850,20000,2,1,840,,1987,
Single Family Residential,116 Franklin St,Ithaca,NY,14850,355000,2,1.5,1218,0.10101010101010101,1900,
Single Family Residential,250 Banks Rd,Brooktondale,NY,14817,339000,1,1.5,1344,3.8600091827364555,2011,
Single Family Residential,67 Brooklyn Rd,Freeville,NY,13068,180000,3,1.5,1008,0.9199954086317723,1979,
Single Family Residential,112 Blackstone Ave,Ithaca,NY,14850,490000,3,2,2008,0.5699954086317722,1954,
Single Family Residential,328 Smith Rd,Newfield,NY,14867,160000,4,2,1920,2,1979,
Single Family Residential,1145 Sovocool Hill Rd,Groton,NY,13073,274000,4,2,2352,10.139990817263545,2003,
Single Family Residential,9 Deputron Hollow Rd,Brooktondale,NY,14817,218000,2,1,1115,4.75,1991,
Single Family Residential,710 N Aurora St,Ithaca,NY,14850,299000,3,2,1928,0.15303030303030302,1890,
Single Family Residential,121 Bone Plain Rd,Dryden,NY,13068,111191,3,2,1654,0.45,1960,
Single Family Residential,19 Conlon Rd,Lansing,NY,14882,419900,3,2.5,2854,2.5100091827364555,1995,
Single Family Residential,15 Mclean-cortland Rd,Cortland,NY,13045,153500,3,1,1375,0.5,1865,
Single Family Residential,713 Auburn Rd,Groton,NY,13073,450000,4,2,2128,6.3,2005,
Multi-Family (2-4 Unit),310 Cascadilla St,Ithaca,NY,14850,365000,6,2.5,2370,0.1,1910,
Single Family Residential,6 Monroe St,Dryden,NY,13053,175000,3,1.5,1664,0.3443526170798898,1961,
Single Family Residential,21 Waterview Hts,Ithaca,NY,14850,720000,3,2.5,3886,1.4,1995,
Single Family Residential,311 W Buffalo St,Ithaca,NY,14850,395000,5,2,3037,0.11499081726354454,1860,
Single Family Residential,607 W Dryden Rd,Freeville,NY,13068,149000,2,1,928,1.5199954086317722,1850,
Single Family Residential,11 Peachtree Ln,Ithaca,NY,14850,315000,3,2,1404,0.7699954086317723,2001,
Single Family Residential,1428 Slaterville Rd,Ithaca,NY,14850,224900,2,1,1016,0.5,1957,
Multi-Family (2-4 Unit),324 Center St,Ithaca,NY,14850,277500,,,1724,0.13999081726354454,1900,
Single Family Residential,206 Buttermilk Ln,Ithaca,NY,14850,510000,4,2,1990,1.15,2014,
Single Family Residential,118 Honness Ln,Ithaca,NY,14850,318000,3,2,1400,0.18000459136822775,1968,
Single Family Residential,301 Elmwood Ave,Groton,NY,13073,65000,2,1,576,0.3399908172635445,1930,
Single Family Residential,159 Westview Ln,Ithaca,NY,14850,365000,3,2.5,1883,0.3399908172635445,1988,
Single Family Residential,17 Lake St,Dryden,NY,13053,168500,3,1,1446,0.2634297520661157,1865,
Single Family Residential,218 Locke Rd,Groton,NY,13073,150000,3,2,1200,1.7,1970,
Single Family Residential,208 Williams St,Groton,NY,13073,159000,6,2,2289,0.35059687786960514,1865,
Multi-Family (2-4 Unit),111 Heights Ct,Ithaca,NY,14850,545000,6,2,2736,0.2,1915,
Single Family Residential,940 Cliff St,Ithaca,NY,14850,170000,3,2,936,0.4800045913682277,1961,
Single Family Residential,23 W Miller Rd,Ithaca,NY,14850,356500,3,2,1476,1.6300045913682277,1947,
Single Family Residential,21 George,Dryden,NY,13053,192500,3,1,1592,0.55,1856,
Multi-Family (2-4 Unit),133 Church St,Groton,NY,13073,150000,,,2272,0.25,1890,
Single Family Residential,409 Willow Ave,Ithaca,NY,14850,250000,3,1.5,1487,0.11999540863177227,1870,
Single Family Residential,848 Bostwick Rd,Ithaca,NY,14850,136400,3,1,1071,2.3699954086317723,1965,
Single Family Residential,119 Woodard Rd,Ithaca,NY,14850,625000,3,2,2220,4.073989898989899,2007,
Single Family Residential,107 Ridgecrest Rd,Ithaca,NY,14850,285000,3,1,1125,1.1300045913682277,1987,
Single Family Residential,612 Salt Rd,Groton,NY,13073,350000,4,2,2837,2.8600091827364555,1825,
Single Family Residential,5 Hunt Grove Rd,Ithaca,NY,14850,220000,3,1.5,1416,0.6,1970,
Single Family Residential,399 George Rd,Freeville,NY,13068,205000,3,2,1566,0.7899908172635446,1856,
Single Family Residential,114 Madison St,Ithaca,NY,14850,352000,3,1.5,1376,0.08000459136822773,1860,
Single Family Residential,255 Johnson Rd,Freeville,NY,13068,130000,3,2,1232,1.5,2003,
Single Family Residential,307 E Cortland St,Groton,NY,13073,162500,4,1.5,2035,0.21999540863177228,1900,
Mobile/Manufactured Home,193 Goodwin Dr,Ithaca,NY,14850,145000,3,2,1650,0.25,1993,
Multi-Family (2-4 Unit),805 S Aurora St,Ithaca,NY,14850,290000,6,2,1560,0.16000918273645545,1860,
Single Family Residential,27 Ferguson Rd,Dryden,NY,13053,200000,3,2,1392,0.3399908172635445,1961,
Multi-Family (2-4 Unit),129 Elmira Rd,Ithaca,NY,14850,467500,6,4,2304,0.13000459136822773,2017,
Single Family Residential,202 Winston Dr,Ithaca,NY,14850,385000,4,2,1774,0.3399908172635445,1960,
Single Family Residential,1157 Danby Rd,Ithaca,NY,14850,140000,4,2,2376,1.6399908172635445,1945,
Single Family Residential,513 S Cayuga St,Ithaca,NY,14850,335000,5,2,2381,0.11000918273645546,1930,
Single Family Residential,57 W Dryden Rd,Dryden,NY,13068,242000,3,2,1248,1,1990,
Single Family Residential,143 Sodom Rd,Ithaca,NY,14850,180000,3,1.5,1884,1.7899908172635446,1970,
Single Family Residential,9 Sears Rd,Groton,NY,13073,245000,4,3.5,1692,1.0330578512396693,2004,
Single Family Residential,1892 Mecklenburg Rd,Ithaca,NY,14850,41000,2,1,720,0.55,1972,
Single Family Residential,5 Elderado Dr,Trumansburg,NY,14886,355000,3,2.5,1900,0.38000459136822773,1983,
Single Family Residential,6 Cliff Park Cir,Ithaca,NY,14850,290000,3,1.5,1236,0.3399908172635445,1970,
Single Family Residential,4125 Rabbit Run Rd,Trumansburg,NY,14886,205000,2,1,875,0.7199954086317722,1970,
Single Family Residential,3054 Garrett Rd,Ithaca,NY,14850,345000,3,2,1752,9.539990817263545,1964,
Single Family Residential,595 Sheffield Rd,Ithaca,NY,14850,158000,3,1.5,1078,0.8264462809917356,1963,
Single Family Residential,142 Westview Ln,Ithaca,NY,14850,330000,3,2,1447,0.21000918273645547,1988,
Single Family Residential,51 Dart Dr,Ithaca,NY,14850,365000,4,2.5,1868,0.8600091827364554,2008,
Multi-Family (2-4 Unit),1302 N Cayuga St,Ithaca,NY,14850,332000,3,2,1828,0.075,1920,
Single Family Residential,130 Lake Rd,Dryden,NY,13053,195000,3,3,1412,0.7600091827364555,1967,
Single Family Residential,3 Tanbark Cir,Freeville,NY,13068,370000,4,2.5,1920,0.7899908172635446,1992,
Single Family Residential,73 Hickory Rd,Ithaca,NY,14850,640000,3,2.5,2658,2.15,1981,
Single Family Residential,257 Barnes Hill Rd,Newfield,NY,14867,345000,3,2,2166,28.75,1983,
Single Family Residential,108 S Danby Rd,Willseyville,NY,13864,279000,3,2,1800,6.0100091827364555,1988,
Single Family Residential,843 Midline Rd,Freeville,NY,13068,160000,3,2,1129,0.8899908172635446,1998,
Single Family Residential,902 Coddington Rd,Ithaca,NY,14850,235000,3,2,1272,0.9,1940,
Single Family Residential,142 Ridgecrest Rd,Ithaca,NY,14850,405000,4,2.5,2000,0.6887052341597796,1950,
Single Family Residential,5 Ringwood Ct S,Ithaca,NY,14850,234000,3,2,1356,0.6100091827364554,1946,
Single Family Residential,384 Brooktondale Rd,Brooktondale,NY,14817,195000,3,1,1116,0.6300045913682277,1945,
Single Family Residential,68 Goodrich Hill Rd,Berkshire,NY,13736,125000,3,2,1364,2.0300045913682276,1994,
Single Family Residential,702 Coddington Rd,Ithaca,NY,14850,375000,4,2,2176,1.0399908172635446,1845,
Single Family Residential,10 Estates Dr,Ithaca,NY,14850,545000,3,4,2640,0.7100091827364554,1994,
Single Family Residential,495 Lake Rd,Dryden,NY,13053,424900,3,2.5,2460,11.569995408631772,1992,
Single Family Residential,13 Hunters Ln,Ithaca,NY,14850,385000,4,2.5,2260,1.1,1973,
Single Family Residential,977 Dryden Rd,Ithaca,NY,14850,171500,3,1.5,1022,0.46000918273645547,1852,
Single Family Residential,608 N Cayuga St,Ithaca,NY,14850,369000,3,2,2088,,1900,
Single Family Residential,24 Chase Ln,Ithaca,NY,14850,479900,3,2.5,2374,0.45,1993,
Single Family Residential,404 E King Rd,Ithaca,NY,14850,312500,3,2,1355,3.8399908172635446,1976,
Single Family Residential,1610 Ellis Hollow Rd,Ithaca,NY,14850,152500,4,2,1184,4.589990817263544,1951,
Multi-Family (2-4 Unit),546 Warren Rd,Ithaca,NY,14850,340000,,,2032,0.5,1955,
Mobile/Manufactured Home,10 Colleen Dr,Willseyville,NY,13864,82000,3,2,1260,,2014,
Single Family Residential,187 Ellis Hollow Creek Rd,Ithaca,NY,14850,375000,3,2.5,1976,1,2004,
Single Family Residential,2292 Trumansburg Rd,Trumansburg,NY,14886,363000,4,2,2094,0.9100091827364555,1880,
Single Family Residential,117 Kendall Ave,Ithaca,NY,14850,279000,3,1.5,1620,0.2699954086317723,1974,
Single Family Residential,22 Pearl St,Newfield,NY,14867,270000,5,3,2825,0.9600091827364554,1920,
Single Family Residential,35 Dart Dr,Ithaca,NY,14850,290000,4,2,2500,0.5399908172635446,1973,
Single Family Residential,43 Stevens Rd,Mclean,NY,13102,167000,3,1,1396,1.0100091827364555,1850,
Single Family Residential,679 Coddington Rd,Ithaca,NY,14850,265000,4,2,1236,2.6,1959,
Single Family Residential,18 St Joseph Ln,Ithaca,NY,14850,345000,2,2,1474,0.45,1955,
Single Family Residential,320 Mitchell St,Ithaca,NY,14850,375000,3,1,2100,0.4,1907,
Single Family Residential,284 Enfield Center Rd E,Ithaca,NY,14850,379900,4,2.5,2912,7.719995408631772,2010,
Single Family Residential,1642 W Danby Rd,Newfield,NY,14867,875000,6,6.5,4458,55.06000918273646,1900,
Single Family Residential,24 Elm St,Dryden,NY,13053,183500,3,1,1288,0.41999540863177226,1972,
Single Family Residential,96 Simms Hill Rd,Dryden,NY,13053,137000,2,1,1617,1.7100091827364554,1930,
Mobile/Manufactured Home,605 Graduate Dr,Ithaca,NY,14850,105000,3,2,1512,,2015,
Mobile/Manufactured Home,119 Applegate Rd N,Ithaca,NY,14850,200000,3,,2240,21.4,1991,
Single Family Residential,400 Piper Rd,Newfield,NY,14867,122500,3,1,1464,1.4,1971,
Single Family Residential,659 Hayts Rd,Ithaca,NY,14850,132500,4,2,2079,1.8100091827364555,1996,
Single Family Residential,375 Gunderman Rd,Spencer,NY,14883,162000,3,1,1152,9.35,1976,
Multi-Family (2-4 Unit),107 Giles St,Ithaca,NY,14850,330000,4,3,2424,0.26000918273645546,1820,
Single Family Residential,1068 Comfort Rd,Spencer,NY,14883,120500,2,1,960,11.5,1994,
Multi-Family (2-4 Unit),1452 Hanshaw Rd,Ithaca,NY,14850,375000,3,2.5,2906,0.3443526170798898,1991,
Single Family Residential,201 Wildflower Dr #3,Ithaca,NY,14850,310200,2,1,1080,0.010009182736455464,1974,
Single Family Residential,124 Stevens Rd,Freeville,NY,13068,175000,5,2,1948,10.139990817263545,1860,
Single Family Residential,60 Etna Rd,Ithaca,NY,14850,300000,3,2,1400,1.2267676767676767,2012,
Single Family Residential,505 Snyder Hill Rd,Ithaca,NY,14850,80000,6,1,2416,48.639990817263545,1865,
Single Family Residential,1009 Hanshaw Rd,Ithaca,NY,14850,360000,2,1,948,0.4591368227731864,1959,
Multi-Family (2-4 Unit),1315 FULLER LN,Slaterville Springs,NY,14881,232500,4,2,1680,2.9899908172635445,2001,
Single Family Residential,224 Barnes Hill Rd,Newfield,NY,14867,300000,2,2,1452,113.93000459136823,1969,
Single Family Residential,264 Coddington Rd,Ithaca,NY,14850,134500,2,1,1632,0.7747933884297521,1950,
Townhouse,14 Whitetail Dr,Ithaca,NY,14850,212000,2,1.5,1397,0.06000918273645546,1987,
Mobile/Manufactured Home,150 Scofield Rd,Freeville,NY,13068,175000,,,1620,2.85,1996,
Single Family Residential,226 Myers Rd,Lansing,NY,14882,175000,2,1,984,0.5300045913682278,1959,
Multi-Family (2-4 Unit),6 Highland Cres #8,Dryden,NY,13053,127500,5,2,2850,0.2992194674012856,1890,
Single Family Residential,615 Fall Creek Rd,Freeville,NY,13068,175000,3,2,1520,5.5100091827364555,1967,
Single Family Residential,137 STAR STANTON RD,Freeville,NY,13068,445000,2,2,1725,1.7,2017,
Mobile/Manufactured Home,434 Smith Rd,Groton,NY,13073,134000,,,1344,3.15,1998,
Single Family Residential,23 Lee Rd,Dryden,NY,13053,231722,3,2,1572,0.4,2005,
