property_type,address,city,state,zip_code,price,beds,baths,area,lot_size,year_built,hoa_month
Condo/Co-op,206 Taughannock Blvd,Ithaca,NY,14850,370000,2,2,1637,0.31000918273645545,2015,
Single Family Residential,345 N Buck Hill Rd,Trumansburg,NY,14886,410000,3,2,1940,1.9,2012,
Single Family Residential,1198 Warren Rd,Ithaca,NY,14850,147400,2,1,924,0.44699265381083564,1941,
Single Family Residential,112 Pinewood Pl,Ithaca,NY,14850,405000,3,3,2071,0.3443526170798898,1976,
Single Family Residential,143 Burleigh Dr,Ithaca,NY,14850,440000,3,2.5,1805,0.45,1970,
Single Family Residential,826 Ridge Rd,Lansing,NY,14882,340000,2,2,2004,4.089990817263544,1982,
Single Family Residential,12 Perry Ln,Ithaca,NY,14850,851000,4,4.5,4090,1.5399908172635446,1993,
Single Family Residential,314 Old Gorge Rd,Ithaca,NY,14850,660000,5,3.5,3425,0.7,2012,
Single Family Residential,1314 Hanshaw Rd,Ithaca,NY,14850,140000,2,1,904,0.5699954086317722,1952,
Single Family Residential,43 Janivar Dr,Ithaca,NY,14850,410000,4,2,1740,0.30300734618916436,1993,
Townhouse,5 Stone Creek Dr,Ithaca,NY,14850,530000,5,3.5,3491,0.13000459136822773,2011,
Mobile/Manufactured Home,158 Jacobs Dr,Ithaca,NY,14850,105000,3,2,1247,,1992,
Single Family Residential,415 Locke Rd,Groton,NY,13073,180000,2,1,1686,5,1865,
Single Family Residential,70 Old Peruville Rd,Groton,NY,13073,91500,2,1,1196,0.5,1885,
Single Family Residential,309 Lake Rd,Dryden,NY,13053,365000,3,2.5,2112,1.629981634527089,1968,
Single Family Residential,7550 Willow Creek Rd,Trumansburg,NY,14886,830000,6,5,4458,2.6300045913682277,1970,
Single Family Residential,5080 Perry City Rd,Trumansburg,NY,14886,508000,5,2,2701,12.360009182736455,1974,
Single Family Residential,223 Sydney Ter,Newfield,NY,14867,210000,2,1,965,1.2,2016,
Single Family Residential,40 Benjamin Hill Rd,Newfield,NY,14867,176300,3,1,1202,0.7699954086317723,1950,
Single Family Residential,107 Beam Hill Rd,Dryden,NY,13053,258353,3,1.5,1873,0.9600091827364554,1983,
Single Family Residential,6 Aspen Way,Ithaca,NY,14850,585000,4,3.5,4228,1.2699954086317722,1999,
Single Family Residential,107 Fayette St,Ithaca,NY,14850,80000,2,2,1366,,1910,
Single Family Residential,424 N Titus Ave,Ithaca,NY,14850,400000,3,1.5,1440,0.08000459136822773,1920,
Single Family Residential,608 S Albany St,Ithaca,NY,14850,270000,3,1,1092,0.06632231404958677,1910,
Single Family Residential,13 Highland Cres,Dryden,NY,13053,291500,4,2,2745,1.0600091827364555,1955,
Single Family Residential,314 Turner Pl,Ithaca,NY,14850,424000,5,2.5,2328,0.13000459136822773,1901,
Single Family Residential,203 South Hill Ter,Ithaca,NY,14950,460000,3,1.5,1659,0.15,1908,
Single Family Residential,306 Stone Quarry Rd,Ithaca,NY,14850,475000,3,1.5,1680,21,1900,
Townhouse,18 Penny Ln,Ithaca,NY,14850,202000,2,1,864,0.01999540863177227,1983,
Single Family Residential,536 Spencer Rd,Ithaca,NY,14850,261000,4,2,2118,0.31000918273645545,1920,
Single Family Residential,115 Holly Creek Ln,Ithaca,NY,14850,141687,3,1.5,1380,0.03000459136822773,2013,165
Single Family Residential,130 E King Rd,Ithaca,NY,14850,515000,3,2.5,2049,0.7100091827364554,1989,
Single Family Residential,1866 Trumansburg Rd,Jacksonville,NY,14854,60000,3,2,1233,0.25,1870,
Single Family Residential,253 N Applegate Rd,Enfield,NY,14850,266000,3,2,2500,1.3,1966,
Single Family Residential,613 N Aurora St,Ithaca,NY,14850,407500,5,3,1904,0.11999540863177227,1890,
Single Family Residential,37 Deerhaven Dr,Ithaca,NY,14850,575000,4,2.5,2416,2.8399908172635446,1971,
Single Family Residential,1584 Ellis Hollow Rd,Ithaca,NY,14850,420000,4,2,1540,2,1951,
Single Family Residential,1430 Ellis Hollow Rd,Ithaca,NY,14850,580000,4,4.5,4000,5,1880,
Single Family Residential,117 E Main St,Trumansburg,NY,14886,235000,2,1,1030,0.18999081726354453,1836,
Single Family Residential,5250 Cold Springs Rd,Trumansburg,NY,14886,260000,3,1,1144,1.6800045913682278,1991,
Single Family Residential,260 Banks Rd,Brooktondale,NY,14817,592500,4,3,3107,3.05,2011,
Single Family Residential,840 Snyder Hill Rd,Ithaca,NY,14850,450000,2,2,1592,1.7300045913682278,1840,
Single Family Residential,3 Snyder Hts,Ithaca,NY,14850,450000,3,2.5,2635,0.7300045913682277,2005,
Condo/Co-op,61 Whitetail Dr,Ithaca,NY,14850,415000,2,2.5,1768,0.08000459136822773,1988,
Single Family Residential,242 Troy Rd,Ithaca,NY,14850,402500,4,2.5,2064,2.2800045913682276,1995,
Single Family Residential,930 Coddington Rd,Ithaca,NY,14850,503000,4,3,2520,4.860009182736455,1963,
Single Family Residential,100 Thomas Rd,Ithaca,NY,14850,675000,3,2,3042,5.230004591368227,2010,
Single Family Residential,227 Hunt Hill Rd,Ithaca,NY,14850,460000,4,3,2363,3.4699954086317724,2017,
Single Family Residential,409 Thomas Rd,Ithaca,NY,14850,164900,2,1,1308,2.480004591368228,1980,
Single Family Residential,437 Thomas Rd,Ithaca,NY,,290000,3,2,1452,10.989990817263545,1973,
Single Family Residential,239 Coy Glen Rd,Ithaca,NY,14850,500000,5,3,3403,0.5199954086317723,2003,
Single Family Residential,726 Cliff St,Ithaca,NY,14850,160000,5,2,2108,0.18000459136822775,1971,
Multi-Family (2-4 Unit),413 Hector St,Ithaca,NY,14850,290000,3,2,2046,0.21000918273645547,1880,
Single Family Residential,53 Twin Glens Rd,Ithaca,NY,14850,1650000,4,3.5,5296,3.4300045913682276,1995,
Condo/Co-op,210 Wildflower Dr #4,Ithaca,NY,14850,249900,2,1,1104,0.029981634527089074,1974,367
Single Family Residential,116 Randolph Rd,Ithaca,NY,14850,385000,3,2.5,1864,0.41999540863177226,1962,
Single Family Residential,313 The Pkwy,Ithaca,NY,14850,649900,4,4,2920,0.6600091827364555,1938,
Single Family Residential,319 The Pkwy,Ithaca,NY,14850,530000,3,2.5,2055,0.5800045913682277,1925,
Single Family Residential,203 E Upland Rd,Ithaca,NY,14850,630000,4,2.5,2314,0.3199954086317723,1926,
Single Family Residential,1111 Triphammer Rd,Ithaca,NY,14850,310000,4,1.5,1472,0.6199954086317723,2000,
Single Family Residential,1677 Coddington Rd,Brooktondale,NY,14817,305000,2,1.5,1478,2.5300045913682276,1984,
Single Family Residential,877 Taughannock Blvd,Ithaca,NY,14850,450000,2,1,820,,1920,
Single Family Residential,6 Waterview Hts,Ithaca,NY,14850,724000,4,3,3418,1.4600091827364554,1997,
Single Family Residential,109 Simsbury Dr,Ithaca,NY,14850,463000,4,2.5,2118,0.5899908172635445,1974,
Single Family Residential,125 Burleigh Dr,Ithaca,NY,14850,485000,4,3,2422,0.4,1973,
Single Family Residential,120 Burleigh Dr,Ithaca,NY,14850,335900,3,1.5,1060,0.4100091827364555,1975,
Multi-Family (2-4 Unit),12 Fuller Ln,Ithaca,NY,14850,222500,4,2,1680,2.0600091827364553,2001,
Single Family Residential,309 Walnut St,Ithaca,NY,14850,385000,2,3.5,1344,0.023760330578512397,2015,
