Date, AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
02/25/2023,36,Ozone,FULTON,36-075-0003,AQS,49,28,36.8,02/25/2008,02/25/2000
02/26/2023,52,PM2.5,EAST SYRACUSE,36-067-1015,AQS,59,32,37,02/26/2003,02/26/2015
02/27/2023,40,Ozone,FULTON,36-075-0003,AQS,61,32,37.2,02/27/2001,02/27/2006
02/28/2023,37,Ozone,FULTON,36-075-0003,AQS,67,31,47.4,02/28/2016,02/28/2000
3/01/2023,36,Ozone,FULTON,36-075-0003,AQS,83,30,42.8,3/01/2003,3/01/2002
3/02/2023,50,PM2.5,EAST SYRACUSE,36-067-1015,AQS,62,29,43.8,3/02/2001,3/02/2012
3/03/2023,40,Ozone,FULTON,36-075-0003,AQS,48,32,37.6,3/03/2019,3/03/2015
3/04/2023,37,Ozone,FULTON,36-075-0003,AQS,77,31,42.2,3/04/2004,3/04/2014
3/05/2023,40,Ozone,FULTON,36-075-0003,AQS,61,33,37,3/05/2005,3/05/2002
3/06/2023,40,Ozone,FULTON,36-075-0003,AQS,74,16,39.6,3/06/2002,3/06/2006
3/07/2023,42,Ozone,FULTON,36-075-0003,AQS,80,29,42,3/07/2010,3/07/2016
3/08/2023,39,Ozone,FULTON,36-075-0003,AQS,64,25,46,3/08/2010,3/08/2004
3/09/2023,36,Ozone,FULTON,36-075-0003,AQS,80,18,47.4,3/09/2010,3/09/2004
3/10/2023,34,Ozone,FULTON,36-075-0003,AQS,80,31,41.8,3/10/2010,3/10/2000
3/11/2023,37,Ozone,FULTON,36-075-0003,AQS,90,28,40.8,3/11/2010,3/11/2000
3/12/2023,38,Ozone,FULTON,36-075-0003,AQS,56,17,39.8,3/12/2006,3/12/2004
03/13/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,51,27,40.2,03/13/2019,03/13/2002
03/14/2023,38,Ozone,FULTON,36-075-0003,AQS,61,33,41.2,03/14/2019,03/14/2000
03/15/2023,45,Ozone,FULTON,36-075-0003,AQS,68,27,39.6,03/15/2002,03/15/2016
03/16/2023,47,Ozone,EAST SYRACUSE,36-067-1015,AQS,87,31,39.6,03/16/2003,03/16/2016
03/17/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,90,37,40.8,03/17/2003,03/17/2000
03/18/2023,42,Ozone,FULTON,36-075-0003,AQS,74,34,41.6,03/18/2003,03/18/2016
03/19/2023,44,Ozone,FULTON,36-075-0003,AQS,58,32,44.8,03/19/2017,03/19/2002
03/20/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,54,34,44.2,03/20/2001,03/20/2003
03/21/2023,47,PM2.5,EAST SYRACUSE,36-067-1015,AQS,49,31,42.6,03/21/2017,03/21/2003
03/22/2023,48,PM2.5,EAST SYRACUSE,36-067-1015,AQS,77,27,38,03/22/2007,03/22/2004
03/23/2023,37,Ozone,FULTON,36-075-0003,AQS,54,30,38.4,03/23/2001,03/23/2015
03/24/2023,37,Ozone,FULTON,36-075-0003,AQS,52,32,42.2,03/24/2006,03/24/2014
03/25/2023,41,Ozone,FULTON,36-075-0003,AQS,55,34,41,03/25/2000,03/25/2004
03/26/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,58,35,44.2,03/26/2015,03/26/2006
03/27/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,50,30,39.2,03/27/2000,03/27/2004
03/28/2023,41,Ozone,FULTON,36-075-0003,AQS,58,29,37,03/28/2003,03/28/2018
03/29/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,71,27,38.8,03/29/2001,03/29/2018
03/30/2023,44,Ozone,FULTON,36-075-0003,AQS,84,32,46.6,03/30/2006,03/30/2009
03/31/2023,38,Ozone,EAST SYRACUSE,36-067-1015,AQS,133,34,40.4,03/31/2006,03/31/2004
4/01/2023,47,Ozone,EAST SYRACUSE,36-067-1015,AQS,51,35,41.2,4/01/2000,4/01/2009
4/02/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,115,24,45.4,4/02/2010,4/02/2003
4/03/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,112,31,40,4/03/2010,4/03/2004
4/04/2023,38,Ozone,FULTON,36-075-0003,AQS,54,30,39,4/04/2001,4/04/2000
4/05/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,74,28,37.6,4/05/2010,4/05/2007
4/06/2023,42,Ozone,FULTON,36-075-0003,AQS,105,31,41.4,4/06/2005,4/06/2007
4/07/2023,42,Ozone,FULTON,36-075-0003,AQS,73,33,39.6,4/07/2001,4/07/2007
4/08/2023,44,Ozone,FULTON,36-075-0003,AQS,74,30,41.2,4/08/2010,4/08/2007
4/09/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,54,34,42,4/09/2017,4/09/2015
4/10/2023,58,Ozone,EAST SYRACUSE,36-067-1015,AQS,74,32,44.4,4/10/2009,4/10/2013
4/11/2023,77,Ozone,FULTON,36-075-0003,AQS,80,31,42.4,4/11/2006,4/11/2012
4/12/2023,77,Ozone,EAST SYRACUSE,36-067-1015,AQS,90,34,40.6,4/12/2006,4/12/2016
04/13/2023,74,Ozone,EAST SYRACUSE,36-067-1015,AQS,67,26,38,04/13/2014,04/13/2015
04/14/2023,119,Ozone,EAST SYRACUSE,36-067-1015,AQS,67,36,40.8,04/14/2003,04/14/2004
04/15/2023,87,Ozone,FULTON,36-075-0003,AQS,115,19,38,04/15/2003,04/15/2016
04/16/2023,48,Ozone,EAST SYRACUSE,36-067-1015,AQS,80,30,44.2,04/16/2003,04/16/2000
04/17/2023,39,Ozone,EAST SYRACUSE,36-067-1015,AQS,108,31,39.6,04/17/2008,04/17/2017
04/18/2023,33,Ozone,FULTON,36-075-0003,AQS,150,36,50.8,04/18/2008,04/18/2018
04/19/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,161,34,40.8,04/19/2008,04/19/2000
04/20/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,122,29,38.6,04/20/2005,04/20/2017
04/21/2023,74,Ozone,FULTON,36-075-0003,AQS,93,31,45.8,04/21/2014,04/21/2017
04/22/2023,50,Ozone,EAST SYRACUSE,36-067-1015,AQS,105,25,39.8,04/22/2008,04/22/2017
04/23/2023,39,Ozone,EAST SYRACUSE,36-067-1015,AQS,136,30,42.4,04/23/2007,04/23/2015
04/24/2023,38,Ozone,EAST SYRACUSE,36-067-1015,AQS,74,33,45.4,04/24/2009,04/24/2015
04/25/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,80,27,37.4,04/25/2008,04/25/2002
04/26/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,97,32,37,04/26/2008,04/26/2016
04/27/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,97,32,41.2,04/27/2009,04/27/2000
04/28/2023,49,Ozone,EAST SYRACUSE,36-067-1015,AQS,174,30,43,04/28/2003,04/28/2007
04/29/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,80,30,40,04/29/2004,04/29/2002
04/30/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,143,31,43,04/30/2004,04/30/2017
5/01/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,126,35,50.4,5/01/2001,5/01/2014
5/02/2023,27,Ozone,FULTON,36-075-0003,AQS,143,30,47.4,5/02/2001,5/02/2014
5/03/2023,28,Ozone,FULTON,36-075-0003,AQS,143,27,55,5/03/2001,5/03/2011
5/04/2023,29,Ozone,FULTON,36-075-0003,AQS,164,29,46.8,5/04/2001,5/04/2011
5/05/2023,32,Ozone,EAST SYRACUSE,36-067-1015,AQS,87,27,41.4,5/05/2002,5/05/2019
5/06/2023,38,Ozone,EAST SYRACUSE,36-067-1015,AQS,112,26,42.4,5/06/2000,5/06/2017
5/07/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,77,31,42.4,5/07/2005,5/07/2017
5/08/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,29,53,5/08/2015,5/08/2012
5/09/2023,38,Ozone,EAST SYRACUSE,36-067-1015,AQS,115,35,52.2,5/09/2007,5/09/2011
5/10/2023,38,Ozone,EAST SYRACUSE,36-067-1015,AQS,122,30,45.2,5/10/2001,5/10/2017
5/11/2023,49,Ozone,EAST SYRACUSE,36-067-1015,AQS,129,35,40.4,5/11/2001,5/11/2013
5/12/2023,105,Ozone,FULTON,36-075-0003,AQS,87,31,43.6,5/12/2012,5/12/2018
05/13/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,119,34,38.8,05/13/2004,05/13/2002
05/14/2023,34,Ozone,EAST SYRACUSE,36-067-1015,AQS,67,28,44,05/14/2008,05/14/2019
05/15/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,119,27,41.8,05/15/2007,05/15/2011
05/16/2023,47,Ozone,EAST SYRACUSE,36-067-1015,AQS,67,22,41.8,05/16/2002,05/16/2011
05/17/2023,37,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,23,54.2,05/17/2000,05/17/2011
05/18/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,84,28,40.2,05/18/2000,05/18/2001
05/19/2023,47,Ozone,EAST SYRACUSE,36-067-1015,AQS,77,30,38.2,05/19/2012,05/19/2000
05/20/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,90,31,41,05/20/2009,05/20/2018
05/21/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,119,31,44.2,05/21/2009,05/21/2003
05/22/2023,36,PM2.5,EAST SYRACUSE,36-067-1015,AQS,97,26,39,05/22/2009,05/22/2008
05/23/2023,44,Ozone,FULTON,36-075-0003,AQS,105,27,51,05/23/2007,05/23/2005
05/24/2023,43,PM2.5,EAST SYRACUSE,36-067-1015,AQS,154,26,63,05/24/2007,05/24/2013
05/25/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,143,31,72.6,05/25/2007,05/25/2013
05/26/2023,37,Ozone,EAST SYRACUSE,36-067-1015,AQS,115,25,69,05/26/2018,05/26/2017
05/27/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,77,26,41.2,05/27/2014,05/27/2009
05/28/2023,61,Ozone,EAST SYRACUSE,36-067-1015,AQS,71,25,44.6,05/28/2002,05/28/2019
05/29/2023,49,Ozone,EAST SYRACUSE,36-067-1015,AQS,108,29,43,05/29/2006,05/29/2014
05/30/2023,87,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,34,53.6,05/30/2006,05/30/2017
05/31/2023,100,Ozone,EAST SYRACUSE,36-067-1015,AQS,150,26,41.6,05/31/2007,05/31/2015
6/01/2023,74,Ozone,EAST SYRACUSE,36-067-1015,AQS,136,21,46,6/01/2007,6/01/2015
6/02/2023,80,Ozone,EAST SYRACUSE,36-067-1015,AQS,143,24,38.6,6/02/2007,6/02/2018
6/03/2023,50,PM2.5,EAST SYRACUSE,36-067-1015,AQS,58,31,38.4,6/03/2008,6/03/2018
6/04/2023,42,Ozone,FULTON,36-075-0003,AQS,71,23,41.6,6/04/2005,6/04/2012
6/05/2023,81,PM2.5,EAST SYRACUSE,36-067-1015,AQS,97,26,39.4,6/05/2005,6/05/2018
6/06/2023,169,PM2.5,EAST SYRACUSE,36-067-1015,AQS,80,21,33.4,6/06/2009,6/06/2018
6/07/2023,233,PM2.5,EAST SYRACUSE,36-067-1015,AQS,119,26,40.2,6/07/2004,6/07/2013
6/08/2023,103,PM2.5,EAST SYRACUSE,36-067-1015,AQS,154,24,38.8,6/08/2005,6/08/2013
6/09/2023,47,PM2.5,EAST SYRACUSE,36-067-1015,AQS,115,29,47,6/09/2002,6/09/2010
6/10/2023,66,PM2.5,EAST SYRACUSE,36-067-1015,AQS,179,30,51.6,6/10/2000,6/10/2013
6/11/2023,68,PM2.5,EAST SYRACUSE,36-067-1015,AQS,147,27,54.2,6/11/2002,6/11/2014
6/12/2023,68,PM2.5,EAST SYRACUSE,36-067-1015,AQS,87,23,51.2,6/12/2017,6/12/2006
06/13/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,129,18,39.6,06/13/2008,06/13/2000
06/14/2023,33,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,24,36.2,06/14/2008,06/14/2014
06/15/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,27,38,06/15/2001,06/15/2014
06/16/2023,45,PM2.5,EAST SYRACUSE,36-067-1015,AQS,80,26,42.4,06/16/2007,06/16/2019
06/17/2023,78,PM2.5,EAST SYRACUSE,36-067-1015,AQS,140,22,46.8,06/17/2006,06/17/2005
06/18/2023,30,Ozone,EAST SYRACUSE,36-067-1015,AQS,105,21,42.8,06/18/2006,06/18/2005
06/19/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,140,30,42.8,06/19/2001,06/19/2005
06/20/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,115,25,44.2,06/20/2002,06/20/2009
06/21/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,129,27,38.4,06/21/2002,06/21/2009
06/22/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,99,28,38.8,06/22/2002,06/22/2011
06/23/2023,31,Ozone,FULTON,36-075-0003,AQS,166,30,37.4,06/23/2002,06/23/2018
06/24/2023,31,Ozone,FULTON,36-075-0003,AQS,164,24,34.4,06/24/2003,06/24/2018
06/25/2023,34,Ozone,EAST SYRACUSE,36-067-1015,AQS,204,25,42,06/25/2003,06/25/2012
06/26/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,201,24,46,06/26/2003,06/26/2011
06/27/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,182,28,37.6,06/27/2001,06/27/2018
06/28/2023,97,PM2.5,EAST SYRACUSE,36-067-1015,AQS,129,28,46,06/28/2001,06/28/2013
06/29/2023,168,PM2.5,EAST SYRACUSE,36-067-1015,AQS,150,24,43.4,06/29/2001,06/29/2016
06/30/2023,163,PM2.5,EAST SYRACUSE,36-067-1015,AQS,112,31,46.6,06/30/2001,06/30/2010
7/01/2023,101,PM2.5,EAST SYRACUSE,36-067-1015,AQS,159,23,49,7/01/2002,7/01/2013
